timestamp,open,high,low,close,volume,netflow_total,exchange_whale_ratio,funding_rates,average_dormancy,sa_average_dormancy
2024-01-01,42283.5800000000,44184.1000000000,42180.7700000000,44179.5500000000,27174.2990300000,-2621.9584077100,0.3870688400,0.0357754200,7.2003573100,0.0000003700
2024-01-02,44179.5500000000,45879.6300000000,44148.3400000000,44946.9100000000,65146.4066100000,3114.3620726300,0.1680907100,0.0503623000,13.9680448800,0.0000007100
2024-01-03,44946.9100000000,45500.0000000000,40750.0000000000,42845.2300000000,81194.5517300000,4132.2286661700,0.3620234800,0.0146090100,12.5494279700,0.0000006400
2024-01-04,42845.2300000000,44729.5800000000,42613.7700000000,44151.1000000000,48038.0633400000,-277.1655053100,0.2073125900,0.0100000000,64.3941320100,0.0000032900
2024-01-05,44151.1000000000,44357.4600000000,42450.0000000000,44145.1100000000,48075.2532700000,-79.6147775900,0.2559949400,0.0100000000,11.2285536800,0.0000005700
2024-01-06,44145.1200000000,44214.4200000000,43397.0500000000,43968.3200000000,17835.0614400000,2374.7367698100,0.4144535500,0.0100000000,6.7540349100,0.0000003400
2024-01-07,43968.3200000000,44480.5900000000,43572.0900000000,43929.0200000000,23023.8508000000,270.7662094300,0.3439721100,0.0100000000,8.0998004400,0.0000004100
2024-01-08,43929.0100000000,47248.9900000000,43175.0000000000,46951.0400000000,72814.5758900000,1330.9557937500,0.2808671000,0.0100000000,10.0595274400,0.0000005100
2024-01-09,46951.0400000000,47972.0000000000,44748.6700000000,46110.0000000000,69927.6661700000,-102.2904195900,0.1915278800,0.0100000000,11.6144789400,0.0000005900
2024-01-10,46110.0000000000,47695.9300000000,44300.3600000000,46653.9900000000,89911.4120300000,2550.3135387800,0.2187563300,0.0100000000,8.2627944400,0.0000004200
2024-01-11,46654.0000000000,48969.4800000000,45606.0600000000,46339.1600000000,87470.3296000000,3442.7608051600,0.3167023100,0.0100000000,9.8709169300,0.0000005000
2024-01-12,46339.1600000000,46515.5300000000,41500.0000000000,42782.7300000000,86327.9370700000,6126.8787588600,0.2614078200,0.0108565200,8.5757794300,0.0000004400
2024-01-13,42782.7400000000,43257.0000000000,42436.1200000000,42847.9900000000,36118.4746400000,-1975.5649288600,0.3021113700,0.0100000000,5.7607270100,0.0000002900
2024-01-14,42847.9900000000,43079.0000000000,41720.0000000000,41732.3500000000,28228.4089400000,-957.8288007900,0.3400731000,0.0100000000,12.0300121900,0.0000006100
2024-01-15,41732.3500000000,43400.4300000000,41718.0500000000,42511.1000000000,40269.8930300000,2905.1482714600,0.2974971600,0.0100000000,9.1955667100,0.0000004700
2024-01-16,42511.1000000000,43578.0100000000,42050.0000000000,43137.9500000000,45045.7458900000,-3220.8305891500,0.2653042100,0.0100000000,113.6970641900,0.0000058000
2024-01-17,43137.9400000000,43198.0000000000,42200.6900000000,42776.1000000000,33266.2138800000,1274.1695153500,0.2509867600,0.0100000000,20.8531992600,0.0000010600
2024-01-18,42776.0900000000,42930.0000000000,40683.2800000000,41327.5000000000,43907.5164100000,1363.6899522900,0.2539201500,0.0100000000,19.3692528400,0.0000009900
2024-01-19,41327.5100000000,42196.8600000000,40280.0000000000,41659.0300000000,48342.7455900000,915.4172095200,0.2198011600,0.0100000000,17.6322427600,0.0000009000
2024-01-20,41659.0300000000,41872.5600000000,41456.3000000000,41696.0400000000,15923.9949300000,-299.1541701600,0.3037066900,0.0100000000,5.9849751500,0.0000003100
2024-01-21,41696.0500000000,41881.3900000000,41500.9800000000,41580.3300000000,11730.1630100000,-1375.3474133200,0.3851763400,0.0100000000,4.5221218500,0.0000002300
