date,open,high,low,close,Volume BTC,Volume USD,Target,Daily_Return,High_Low_Spread,Close_Open_Spread,MA_7,MA_30
2014-12-27,330.97,330.97,311.63,315.89,2747753.48,8639.54,1,-0.045303433268858884,19.340000000000032,-15.080000000000041,325.3514285714286,348.6653333333333
2014-12-28,315.89,319.56,311.22,316.63,1288906.81,4089.61,0,0.0023425876096110354,8.339999999999975,0.7400000000000091,324.42,346.67699999999996
2014-12-29,316.63,320.14,311.61,314.78,1859591.78,5901.06,0,-0.0058427817957869,8.529999999999973,-1.8500000000000227,322.1714285714285,344.61233333333337
2014-12-30,314.78,316.77,310.0,311.94,3091941.68,9894.24,1,-0.009022174216913315,6.769999999999982,-2.839999999999975,318.8071428571428,342.56566666666663
2014-12-31,311.94,320.0,310.69,319.25,1925334.88,6097.71,0,0.023433993716740487,9.310000000000002,7.310000000000002,318.39428571428573,340.59433333333334
2015-01-01,319.25,321.0,312.6,316.31,1018388.35,3223.06,1,-0.009209083790133077,8.399999999999977,-2.9399999999999977,317.9542857142857,338.4963333333334
2015-01-02,316.31,317.01,311.96,316.51,1093571.94,3472.05,0,0.0006322911068254999,5.050000000000011,0.19999999999998863,315.90142857142854,336.491
2015-01-03,316.51,316.58,285.0,286.01,6078845.04,20350.46,0,-0.09636346402957252,31.579999999999984,-30.5,311.6328571428571,333.8513333333333
2015-01-04,286.01,289.81,255.0,264.62,11614560.04,42650.57,1,-0.07478759483934128,34.81,-21.389999999999986,304.20285714285717,330.1736666666667
2015-01-05,264.62,280.0,262.94,276.8,2655979.12,9752.08,0,0.04602826694883233,17.060000000000002,12.180000000000007,298.77714285714285,326.89799999999997
2015-01-06,276.8,276.8,276.8,276.8,0.0,0.0,0,0.0,0.0,0.0,293.75714285714287,323.56233333333336
2015-01-07,276.8,276.8,276.8,276.8,0.0,0.0,0,0.0,0.0,0.0,287.6928571428571,320.63533333333334
2015-01-08,276.8,276.8,276.8,276.8,0.0,0.0,0,0.0,0.0,0.0,282.04857142857145,318.179
2015-01-09,276.8,276.8,276.8,276.8,0.0,0.0,0,0.0,0.0,0.0,276.3757142857143,315.8013333333334
2015-01-10,276.8,276.8,276.8,276.8,0.0,0.0,0,0.0,0.0,0.0,275.06,313.39533333333327
2015-01-11,276.8,276.8,276.8,276.8,0.0,0.0,0,0.0,0.0,0.0,276.8,310.806
2015-01-12,270.4,272.43,263.54,268.16,2133679.78,7909.25,0,-0.03121387283236987,8.889999999999986,-2.2399999999999523,275.5657142857143,308.0296666666667
2015-01-13,268.16,268.72,216.0,221.0,13652228.51,57653.9,0,-0.175865155131265,52.72000000000003,-47.160000000000025,267.5942857142857,303.72400000000005
2015-01-14,221.0,230.89,152.4,162.0,23647658.54,123599.76,1,-0.26696832579185525,78.48999999999998,-59.0,251.19428571428574,297.4516666666667
2015-01-15,162.0,233.9,161.1,208.81,17721319.5,86158.17,0,0.28895061728395066,72.80000000000001,46.81,241.48142857142855,293.41133333333335
2015-01-16,214.77,223.15,198.04,206.6,7308109.72,34657.09,0,-0.010583784301518184,25.110000000000014,-8.170000000000016,231.45285714285714,289.5946666666667
